l1,l2,l3,l4,l5,l6,l7
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,1,1,0,0,0,0
4,2,1,0,0,0,0
5,2,1,0,0,0,0
6,3,2,0,0,0,0
7,4,3,0,0,0,0
8,5,4,0,0,0,0
9,6,5,1,0,0,0
10,6,5,1,0,0,0
11,6,5,1,0,0,0
12,6,5,1,0,0,0
13,7,6,1,0,0,0
14,7,6,1,0,0,0
15,8,6,1,0,0,0
16,9,7,2,1,0,0
17,9,7,2,1,0,0
18,9,7,2,1,0,0
19,9,7,2,1,0,0
20,9,7,2,1,0,0
21,10,7,2,1,0,0
22,11,7,2,1,0,0
23,11,7,2,1,0,0
24,11,7,2,1,0,0
25,11,7,2,1,0,0
26,12,8,3,1,0,0
27,12,8,3,1,0,0
28,13,9,3,1,0,0
29,13,9,3,1,0,0
30,14,10,4,1,0,0
31,15,10,4,1,0,0
32,15,10,4,1,0,0
33,16,11,4,1,0,0
34,16,11,4,1,0,0
35,17,12,4,1,0,0
36,18,12,4,1,0,0
37,18,12,4,1,0,0
38,19,13,5,1,0,0
39,19,13,5,1,0,0
40,20,13,5,1,0,0
41,20,13,5,1,0,0
42,21,13,5,1,0,0
43,22,13,5,1,0,0
44,23,14,6,1,0,0
45,24,15,6,1,0,0
46,25,16,7,2,1,0
47,25,16,7,2,1,0
48,25,16,7,2,1,0
49,25,16,7,2,1,0
50,26,16,7,2,1,0
51,26,16,7,2,1,0
52,26,16,7,2,1,0
53,27,16,7,2,1,0
54,28,16,7,2,1,0
55,28,16,7,2,1,0
56,29,17,8,3,1,0
57,29,17,8,3,1,0
58,30,18,9,4,1,0
59,30,18,9,4,1,0
60,30,18,9,4,1,0
61,30,18,9,4,1,0
62,31,18,9,4,1,0
63,31,18,9,4,1,0
64,31,18,9,4,1,0
65,32,19,10,5,1,0
66,32,19,10,5,1,0
67,33,19,10,5,1,0
68,34,20,11,6,2,1
69,35,21,11,6,2,1
70,36,21,11,6,2,1
71,37,21,11,6,2,1
72,38,22,12,7,3,1
73,38,22,12,7,3,1
74,38,22,12,7,3,1
75,38,22,12,7,3,1
76,39,22,12,7,3,1
77,40,22,12,7,3,1
78,41,22,12,7,3,1
79,41,22,12,7,3,1
80,41,22,12,7,3,1
81,41,22,12,7,3,1
82,41,22,12,7,3,1
83,42,23,13,7,3,1
84,42,23,13,7,3,1
85,43,23,13,7,3,1
86,44,24,14,7,3,1
87,45,25,14,7,3,1
88,46,25,14,7,3,1
89,46,25,14,7,3,1
90,47,25,14,7,3,1
91,48,25,14,7,3,1
92,48,25,14,7,3,1
93,49,25,14,7,3,1
94,49,25,14,7,3,1
95,50,26,15,7,3,1
96,51,26,15,7,3,1
97,52,27,16,7,3,1
98,53,27,16,7,3,1
99,54,28,17,7,3,1
100,54,28,17,7,3,1
